eventid, userid, eventtime, type, diffgold, diffpower, difflevel
1,572,2022-12-16 11:30:26,3,0,0,2
2,184,2022-12-16 11:30:33,2,96900,0,0
3,524,2022-12-16 11:31:03,3,0,0,2
4,913,2022-12-16 11:31:26,3,0,0,1
5,77,2022-12-16 11:31:34,1,-384,30730,0
6,43,2022-12-16 11:32:10,1,-33671,88507,0
7,732,2022-12-16 11:32:16,2,78151,0,0
8,163,2022-12-16 11:32:28,2,70248,0,0
9,660,2022-12-16 11:32:49,3,0,0,1
10,974,2022-12-16 11:33:14,3,0,0,1
11,190,2022-12-16 11:33:59,2,62357,0,0
12,545,2022-12-16 11:34:10,2,21234,0,0
13,773,2022-12-16 11:34:18,1,-48070,25218,0
14,351,2022-12-16 11:34:43,3,0,0,1
15,507,2022-12-16 11:35:19,1,-97852,83917,0
16,538,2022-12-16 11:35:30,2,4832,0,0
17,324,2022-12-16 11:35:37,1,-12890,54187,0
18,969,2022-12-16 11:36:05,1,-62154,28310,0
19,175,2022-12-16 11:36:51,3,0,0,2
20,771,2022-12-16 11:37:30,3,0,0,2
21,405,2022-12-16 11:38:09,1,-55156,49227,0
22,647,2022-12-16 11:38:17,3,0,0,2
23,650,2022-12-16 11:39:05,1,-4582,30440,0
24,901,2022-12-16 11:39:27,3,0,0,2
25,727,2022-12-16 11:39:40,3,0,0,2
26,265,2022-12-16 11:40:08,3,0,0,1
27,16,2022-12-16 11:40:22,2,44147,0,0
28,182,2022-12-16 11:40:33,3,0,0,1
29,415,2022-12-16 11:40:44,2,10121,0,0
30,487,2022-12-16 11:40:51,2,91685,0,0
31,634,2022-12-16 11:41:24,2,4381,0,0
32,308,2022-12-16 11:42:02,1,-81125,48726,0
33,17,2022-12-16 11:42:27,3,0,0,2
34,876,2022-12-16 11:42:47,3,0,0,1
35,452,2022-12-16 11:43:11,3,0,0,1
36,779,2022-12-16 11:43:50,1,-81235,62380,0
37,426,2022-12-16 11:43:54,3,0,0,2
38,981,2022-12-16 11:44:33,1,-21249,77963,0
39,743,2022-12-16 11:44:52,2,24862,0,0
40,705,2022-12-16 11:44:56,1,-5289,72363,0
41,589,2022-12-16 11:45:28,1,-89668,85537,0
42,873,2022-12-16 11:45:58,1,-28348,33728,0
43,141,2022-12-16 11:46:23,1,-54522,97242,0
44,6,2022-12-16 11:47:10,1,-1598,81621,0
45,956,2022-12-16 11:47:28,2,36604,0,0
46,184,2022-12-16 11:47:59,2,24688,0,0
47,221,2022-12-16 11:48:08,3,0,0,2
48,23,2022-12-16 11:48:11,3,0,0,2
49,734,2022-12-16 11:48:25,1,-91931,31763,0
50,985,2022-12-16 11:48:43,3,0,0,1
51,72,2022-12-16 11:49:17,1,-91242,58726,0
52,669,2022-12-16 11:49:29,1,-45054,89680,0
53,738,2022-12-16 11:49:34,2,84488,0,0
54,884,2022-12-16 11:50:05,1,-62446,24915,0
55,354,2022-12-16 11:50:35,1,-40428,38890,0
56,496,2022-12-16 11:51:09,1,-42574,41455,0
57,461,2022-12-16 11:51:49,1,-58440,63427,0
58,70,2022-12-16 11:52:17,3,0,0,2
59,319,2022-12-16 11:53:02,3,0,0,2
60,916,2022-12-16 11:53:48,3,0,0,1
61,893,2022-12-16 11:54:21,3,0,0,2
62,193,2022-12-16 11:54:28,1,-66993,81507,0
63,759,2022-12-16 11:55:14,3,0,0,2
64,316,2022-12-16 11:55:27,1,-16137,46918,0
65,807,2022-12-16 11:55:45,1,-76904,90810,0
66,843,2022-12-16 11:56:22,2,63672,0,0
67,923,2022-12-16 11:56:42,2,50579,0,0
68,517,2022-12-16 11:57:13,3,0,0,2
69,150,2022-12-16 11:57:35,2,87718,0,0
70,266,2022-12-16 11:57:39,3,0,0,2
71,959,2022-12-16 11:57:50,3,0,0,2
72,925,2022-12-16 11:57:55,2,50525,0,0
73,756,2022-12-16 11:58:22,3,0,0,2
74,95,2022-12-16 11:58:25,3,0,0,2
75,844,2022-12-16 11:58:36,1,-57627,42616,0
76,532,2022-12-16 11:58:57,3,0,0,2
77,250,2022-12-16 11:59:02,1,-64169,80014,0
78,547,2022-12-16 11:59:26,2,56874,0,0
79,678,2022-12-16 12:00:07,1,-31963,99035,0
80,587,2022-12-16 12:00:43,2,69496,0,0
81,161,2022-12-16 12:00:51,3,0,0,1
82,576,2022-12-16 12:01:36,3,0,0,2
83,801,2022-12-16 12:01:39,1,-10890,92640,0
84,780,2022-12-16 12:02:16,1,-57004,26089,0
85,107,2022-12-16 12:03:02,1,-5146,31898,0
86,902,2022-12-16 12:03:06,3,0,0,1
87,828,2022-12-16 12:03:30,1,-55233,56656,0
88,559,2022-12-16 12:03:35,3,0,0,2
89,378,2022-12-16 12:04:15,2,52507,0,0
90,472,2022-12-16 12:04:51,1,-50521,36851,0
91,836,2022-12-16 12:05:31,1,-51567,24647,0
92,752,2022-12-16 12:06:01,3,0,0,2
93,949,2022-12-16 12:06:14,3,0,0,1
94,465,2022-12-16 12:06:16,3,0,0,1
95,572,2022-12-16 12:06:30,2,62708,0,0
96,442,2022-12-16 12:06:54,2,29733,0,0
97,918,2022-12-16 12:07:41,3,0,0,1
98,339,2022-12-16 12:07:45,3,0,0,2
99,960,2022-12-16 12:08:25,3,0,0,1
100,606,2022-12-16 12:08:55,2,64994,0,0
101,159,2022-12-16 12:09:09,3,0,0,2
102,596,2022-12-16 12:09:25,2,26525,0,0
103,498,2022-12-16 12:10:02,2,34357,0,0
104,747,2022-12-16 12:10:13,3,0,0,1
105,805,2022-12-16 12:10:15,1,-92295,76948,0
106,757,2022-12-16 12:10:26,3,0,0,1
107,466,2022-12-16 12:11:13,3,0,0,1
108,426,2022-12-16 12:11:41,3,0,0,1
109,455,2022-12-16 12:11:52,1,-81841,27933,0
110,76,2022-12-16 12:11:54,2,39680,0,0
111,350,2022-12-16 12:12:36,1,-21681,37730,0
112,989,2022-12-16 12:13:24,2,44134,0,0
113,334,2022-12-16 12:14:00,2,49955,0,0
114,120,2022-12-16 12:14:15,3,0,0,2
